NFC ;Serial;Helmet;Customer Name;date of manufacture;state
http://www.veldt.xyz/check?serial=AAA369X;AAA369X;;;;
http://www.veldt.xyz/check?serial=UAA370P;UAA370P;;;;
http://www.veldt.xyz/check?serial=FAA371O;FAA371O;;;;
http://www.veldt.xyz/check?serial=AAA372K;AAA372K;;;;
http://www.veldt.xyz/check?serial=WAA373C;WAA373C;;;;
http://www.veldt.xyz/check?serial=BAA374O;BAA374O;;;;
http://www.veldt.xyz/check?serial=PAA375D;PAA375D;;;;
http://www.veldt.xyz/check?serial=UAA376U;UAA376U;;;;
http://www.veldt.xyz/check?serial=JAA377L;JAA377L;;;;
http://www.veldt.xyz/check?serial=SAA378Q;SAA378Q;;;;
http://www.veldt.xyz/check?serial=UAA379K;UAA379K;;;;
http://www.veldt.xyz/check?serial=PAA380I;PAA380I;;;;
http://www.veldt.xyz/check?serial=RAA381V;RAA381V;;;;
http://www.veldt.xyz/check?serial=YAA382Y;YAA382Y;;;;
http://www.veldt.xyz/check?serial=OAA383D;OAA383D;;;;
http://www.veldt.xyz/check?serial=GAA384J;GAA384J;;;;
http://www.veldt.xyz/check?serial=BAA385F;BAA385F;;;;
http://www.veldt.xyz/check?serial=PAA386Y;PAA386Y;;;;
http://www.veldt.xyz/check?serial=ZAA387B;ZAA387B;;;;
http://www.veldt.xyz/check?serial=JAA388W;JAA388W;;;;
http://www.veldt.xyz/check?serial=HAA389F;HAA389F;;;;
http://www.veldt.xyz/check?serial=MAA390D;MAA390D;;;;
http://www.veldt.xyz/check?serial=FAA391I;FAA391I;;;;
http://www.veldt.xyz/check?serial=MAA392S;MAA392S;;;;
http://www.veldt.xyz/check?serial=JAA393M;JAA393M;;;;
http://www.veldt.xyz/check?serial=KAA394N;KAA394N;;;;
http://www.veldt.xyz/check?serial=SAA395V;SAA395V;;;;
http://www.veldt.xyz/check?serial=CAA396W;CAA396W;;;;
http://www.veldt.xyz/check?serial=JAA397C;JAA397C;;;;
http://www.veldt.xyz/check?serial=DAA398O;DAA398O;;;;
http://www.veldt.xyz/check?serial=XAA399I;XAA399I;;;;
http://www.veldt.xyz/check?serial=TAA400H;TAA400H;;;;
http://www.veldt.xyz/check?serial=RAA401Y;RAA401Y;;;;
http://www.veldt.xyz/check?serial=XAA402G;XAA402G;;;;
http://www.veldt.xyz/check?serial=MAA403B;MAA403B;;;;
http://www.veldt.xyz/check?serial=DAA404R;DAA404R;;;;
http://www.veldt.xyz/check?serial=UAA405S;UAA405S;;;;
http://www.veldt.xyz/check?serial=XAA406S;XAA406S;;;;
http://www.veldt.xyz/check?serial=CAA407W;CAA407W;;;;
http://www.veldt.xyz/check?serial=DAA408N;DAA408N;;;;
http://www.veldt.xyz/check?serial=VAA409O;VAA409O;;;;
http://www.veldt.xyz/check?serial=GAA410Z;GAA410Z;;;;
http://www.veldt.xyz/check?serial=FAA411L;FAA411L;;;;
http://www.veldt.xyz/check?serial=HAA412Q;HAA412Q;;;;
http://www.veldt.xyz/check?serial=YAA413T;YAA413T;;;;
http://www.veldt.xyz/check?serial=PAA414V;PAA414V;;;;
